+	0	88611
+	0	39450
+	0	68675
+	0	21102
+	0	21849
+	0	93952
+	1	94678
+	2	96748
+	2	16697
+	2	53584
+	3	16951
+	3	89980
+	3	99412
+	4	20024
+	5	86413
+	6	29875
+	6	70913
+	8	73630
+	9	55395
+	9	5952
+	11	35863
+	12	46197
+	12	76384
+	13	94450
+	14	67612
+	14	56935
+	14	8476
+	15	33700
+	16	30555
+	16	33822
+	16	84885
+	16	79928
+	17	48423
+	18	62267
+	19	74406
+	19	41012
+	19	26107
+	19	42793
+	19	40885
+	19	10027
+	19	5081
+	19	40188
+	20	61228
+	20	79988
+	20	58533
+	20	65523
+	20	94086
+	21	57342
+	21	27579
+	21	67499
+	21	41550
+	21	51698
+	21	67501
+	23	90536
+	23	3576
+	24	72304
+	25	75087
+	26	40025
+	26	69835
+	27	35928
+	27	84928
+	27	51105
+	27	56461
+	27	4918
+	28	12691
+	28	18861
+	29	2656
+	29	66421
+	29	36042
+	29	84720
+	29	19899
+	29	3462
+	29	37314
+	30	66978
+	30	20206
+	31	59081
+	31	44925
+	31	58469
+	31	54737
+	33	12683
+	33	448
+	34	75245
+	34	59756
+	35	45925
+	35	5139
+	35	46812
+	35	80512
+	35	9322
+	35	68042
+	36	12683
+	36	71148
+	36	57658
+	36	31721
+	36	53882
+	36	18982
+	36	56822
+	36	89718
+	36	62464
+	36	83219
+	37	22535
+	37	93466
+	38	55395
+	38	71629
+	38	95884
+	38	60636
+	38	91179
+	38	32681
+	38	67210
+	39	72821
+	39	48609
+	41	12840
+	42	97704
+	42	57109
+	42	87934
+	43	56572
+	46	58175
+	46	25868
+	48	95851
+	48	58741
+	49	37470
+	50	76147
+	51	683
+	52	4697
+	52	48459
+	52	14196
+	53	12933
+	54	36368
+	54	23274
+	54	71491
+	54	11488
+	55	7287
+	55	59190
+	55	88870
+	56	42826
+	57	40579
+	57	88402
+	57	57141
+	58	38058
+	58	13045
+	58	38934
+	59	68656
+	59	48818
+	60	6611
+	60	59493
+	60	96220
+	62	73147
+	62	84638
+	62	76795
+	62	89965
+	62	97972
+	62	46417
+	62	34473
+	62	63277
+	62	83406
+	63	42636
+	63	20126
+	64	51843
+	66	28042
+	66	40626
+	67	96877
+	67	99261
+	67	21079
+	67	73670
+	67	72100
+	67	66457
+	67	79625
+	67	82185
+	67	70016
+	67	65300
+	67	58338
+	67	40558
+	67	66916
+	67	12691
+	67	57236
+	67	29650
+	67	81825
+	67	91358
+	69	98339
+	70	57004
+	70	5311
+	71	59013
+	71	44159
+	71	81967
+	71	61787
+	71	85206
+	71	81977
+	71	89240
+	71	14506
+	71	15915
+	71	7393
+	71	63781
+	71	23976
+	71	76027
+	71	56893
+	71	93656
+	71	81964
+	71	67807
+	71	32408
+	72	41067
+	72	13393
+	72	85680
+	73	69789
+	74	71148
+	74	51324
+	74	54183
+	75	97088
+	75	18725
+	77	74105
+	77	17481
+	77	19095
+	77	20273
+	78	7287
+	79	53137
+	79	20868
+	79	4613
+	79	65716
+	79	59831
+	80	48072
+	80	52078
+	80	75760
+	81	99521
+	81	75459
+	82	48473
+	82	63189
+	82	33559
+	83	26971
+	83	29419
+	84	54741
+	84	91753
+	86	69455
+	87	74105
+	87	15682
+	87	73412
+	89	32505
+	89	87588
+	90	35029
+	92	17253
+	93	46576
+	94	89980
+	94	43997
+	94	74792
+	96	40867
+	97	75185
+	98	90914
+	99	3383
+	99	50254
+	100	45925
+	100	66202
+	100	54419
+	100	59529
+	100	45680
+	100	79964
+	100	61936
+	100	72559
+	100	13401
+	100	42338
+	100	34608
+	100	97269
+	101	45132
+	101	80936
+	102	17481
+	102	79535
+	102	48013
+	102	59873
+	103	77446
+	103	40897
+	103	18265
+	104	96439
+	104	24431
+	105	55779
+	105	91420
+	105	21795
+	105	46148
+	105	40808
+	106	45094
+	106	54222
+	106	75689
+	106	94520
+	106	76287
+	107	84227
+	107	63244
+	108	18977
+	108	99458
+	108	65535
+	108	39754
+	109	73842
+	109	36156
+	109	6923
+	110	63411
+	110	92482
+	112	95537
+	113	71816
+	114	15644
+	114	46900
+	115	29805
+	115	80123
+	115	84841
+	115	80197
+	115	80124
+	115	97080
+	115	31832
+	116	28180
+	116	86010
+	116	9696
+	116	37589
+	117	18527
+	117	92364
+	118	65419
+	118	61130
+	119	85264
+	119	93556
+	119	56342
+	120	46531
+	121	90607
+	121	87697
+	121	30972
+	122	20336
+	122	88976
+	123	29805
+	123	2484
+	125	13071
+	125	12311
+	125	4309
+	125	90081
+	125	26324
+	125	74707
+	125	69300
+	125	91743
+	126	77107
+	127	99629
+	127	68810
+	127	72539
+	127	36935
+	127	96756
+	127	84322
+	127	99016
+	127	65920
+	127	87940
+	127	43406
+	128	40187
+	128	46565
+	129	83915
+	129	15677
+	129	29799
+	131	2656
+	132	66890
+	134	80215
+	135	77729
+	135	69985
+	136	2446
+	136	43683
+	136	59605
+	137	74105
+	137	52584
+	139	17030
+	140	87664
+	140	96333
+	140	58507
+	141	2656
+	141	71703
+	141	4052
+	141	43200
+	141	53969
+	142	37674
+	142	89174
+	143	74105
+	143	40550
+	143	83484
+	143	6679
+	143	59929
+	144	54370
+	144	48379
+	144	87901
+	144	44421
+	145	32424
+	147	12683
+	147	69162
+	147	96982
+	147	84715
+	148	29905
+	148	40948
+	148	86137
+	148	70528
+	149	40334
+	149	33463
+	151	14171
+	151	65998
+	151	15982
+	151	16078
+	151	11092
+	151	26614
+	152	90297
+	152	50786
+	153	48853
+	154	25530
+	155	2656
+	156	76600
+	156	45869
+	156	1420
+	156	74544
+	156	53227
+	156	23860
+	157	25992
+	157	44329
+	158	5596
+	158	56032
+	158	25777
+	158	82883
+	159	32021
+	159	46164
+	159	46741
+	159	41465
+	159	78919
+	159	13687
+	160	7226
+	160	56432
+	161	2717
+	161	85333
+	162	66421
+	162	17014
+	162	61258
+	162	51758
+	162	19205
+	162	13972
+	162	92607
+	162	85399
+	163	19483
+	163	23997
+	164	29465
+	166	42034
+	166	93684
+	167	38143
+	168	40310
+	169	60371
+	169	4410
+	172	54009
+	173	56357
+	173	80145
+	173	73169
+	173	38476
+	173	53747
+	173	86667
+	173	4362
+	173	95606
+	173	70064
+	175	80465
+	175	91286
+	175	83492
+	176	12497
+	176	78560
+	177	50060
+	178	63573
+	178	19341
+	179	29211
+	179	43048
+	179	73996
+	180	20107
+	180	91175
+	180	70649
+	180	80879
+	180	67152
+	180	66354
+	180	82613
+	181	2656
+	182	62598
+	182	16235
+	182	39508
+	183	58698
+	183	17545
+	183	80757
+	183	51005
+	183	26075
+	184	74230
+	184	91901
+	185	30172
+	185	50681
+	185	59951
+	185	41825
+	186	36171
+	186	78269
+	189	94709
+	190	61329
+	190	21251
+	191	7287
+	191	74508
+	191	26134
+	193	77445
+	193	85600
+	193	45999
+	193	91185
+	194	86159
+	194	23449
+	195	72753
+	195	40089
+	195	63532
+	196	79873
+	196	24624
+	197	75695
+	198	87138
+	198	24826
+	198	10330
+	198	90543
+	198	48571
+	198	53629
+	199	95772
+	200	73917
+	200	671
+	200	37646
+	200	47904
+	200	2407
+	200	68727
+	201	44892
+	201	54355
+	201	18648
+	202	77445
+	202	31182
+	202	83263
+	202	20655
+	202	98329
+	202	7963
+	202	5649
+	202	46022
+	203	3933
+	203	76178
+	204	91008
+	205	95504
+	205	52948
+	207	40393
+	209	15644
+	209	7714
+	209	19492
+	210	58466
+	211	7451
+	211	26473
+	211	25968
+	211	85658
+	211	11664
+	213	16317
+	214	16879
+	215	6094
+	215	59820
+	215	405
+	216	61050
+	217	89416
+	217	41801
+	217	66784
+	218	84149
+	220	14230
+	222	20958
+	223	76675
+	223	89168
+	223	36156
+	223	13931
+	223	26910
+	225	77107
+	225	45847
+	225	97123
+	225	20300
+	226	26221
+	227	31594
+	227	23808
+	227	73082
+	229	87664
+	229	20136
+	230	77107
+	230	48473
+	230	45554
+	230	8016
+	231	74105
+	231	43140
+	231	12387
+	231	25914
+	232	91561
+	232	29900
+	232	40181
+	233	73564
+	235	36942
+	235	5689
+	235	87329
+	235	43851
+	235	15427
+	235	63641
+	235	69882
+	236	68976
+	236	7714
+	236	5934
+	236	50430
+	237	14162
+	238	66421
+	238	9844
+	238	51448
+	238	71806
+	240	61400
+	241	90536
+	241	85431
+	242	63684
+	243	66617
+	244	66670
+	246	22688
+	247	70078
+	247	18894
+	247	80164
+	247	37062
+	247	37240
+	248	51340
+	249	58447
+	249	74191
+	250	97425
+	250	69520
+	250	5303
+	252	19098
+	252	20966
+	252	57138
+	253	5085
+	253	12828
+	254	73160
+	254	13115
+	255	38050
+	255	57538
+	255	41580
+	256	37278
+	257	44461
+	257	98875
+	257	31104
+	257	8546
+	257	6219
+	257	39378
+	257	93341
+	257	61242
+	258	14904
+	259	33460
+	260	50993
+	260	77399
+	261	84280
+	261	70308
+	261	42340
+	261	95592
+	262	33596
+	262	60160
+	262	20842
+	262	82873
+	262	82459
+	262	41585
+	263	51686
+	263	68074
+	263	46883
+	264	48473
+	264	30722
+	264	41264
+	265	542
+	265	98335
+	265	91217
+	265	75845
+	267	35609
+	267	37253
+	267	12822
+	267	62000
+	268	30402
+	268	19653
+	268	56993
+	268	65012
+	269	32518
+	269	890
+	270	99375
+	271	97094
+	272	39221
+	272	4622
+	274	28928
+	277	88570
+	279	41580
+	279	67793
+	279	45161
+	279	16641
+	281	45180
+	281	77839
+	281	76298
+	282	74406
+	282	69443
+	282	4970
+	282	65700
+	284	83804
+	285	97286
+	285	57153
+	286	48618
+	286	15566
+	287	67881
+	288	70785
+	289	34624
+	290	17338
+	291	80672
+	291	59009
+	292	59291
+	293	72499
+	295	16224
+	295	29900
+	295	62951
+	295	51317
+	296	80487
+	296	81378
+	297	35952
+	298	47480
+	298	78750
+	299	6036
+	299	86748
+	300	17481
+	301	39937
+	304	60059
+	304	44680
+	305	16112
+	305	98973
+	305	29222
+	305	4564
+	306	42137
+	306	77737
+	307	74547
+	307	85964
+	307	75792
+	307	43484
+	308	80983
+	308	98691
+	308	94534
+	309	56748
+	310	12091
+	311	20366
+	311	85428
+	312	58852
+	313	98205
+	315	70139
+	315	20553
+	315	4571
+	316	81644
+	316	35018
+	317	55224
+	318	93833
+	318	91015
+	318	611
+	319	46459
+	320	83637
+	320	25219
+	320	13584
+	322	94080
+	323	86634
+	323	71517
+	323	77530
+	323	23645
+	323	53618
+	323	16018
+	324	54222
+	324	60701
+	326	21132
+	327	74921
+	328	45925
+	328	19599
+	328	45058
+	328	51492
+	328	37413
+	328	61602
+	329	82185
+	329	81881
+	330	66919
+	331	84176
+	331	95004
+	333	66439
+	333	25304
+	333	25883
+	333	63708
+	335	71725
+	335	41655
+	336	32821
+	337	36232
+	337	29005
+	337	77352
+	339	58019
+	339	23687
+	339	96137
+	339	35617
+	339	69466
+	339	32605
+	340	10883
+	342	53802
+	342	37857
+	342	20530
+	342	16141
+	342	40163
+	342	65696
+	342	38689
+	342	86188
+	344	31964
+	345	89797
+	345	29137
+	345	9520
+	345	32648
+	345	68669
+	345	48045
+	345	26191
+	345	46375
+	345	15732
+	347	48473
+	347	15644
+	347	90536
+	347	98246
+	347	1040
+	347	29658
+	347	33338
+	347	21112
+	347	3965
+	347	67394
+	347	13101
+	347	35247
+	347	76752
+	347	38020
+	347	35772
+	347	25266
+	347	43475
+	347	20620
+	347	32797
+	347	64130
+	347	80923
+	347	74560
+	347	54703
+	347	88884
+	347	37146
+	348	52238
+	349	74105
+	349	47455
+	350	99198
+	350	30288
+	350	56844
+	350	89871
+	350	97783
+	350	11383
+	350	69239
+	351	55779
+	351	56803
+	351	61596
+	352	78451
+	353	75523
+	354	7162
+	354	96176
+	354	47549
+	354	29851
+	355	35370
+	355	91721
+	355	67525
+	356	64141
+	356	62442
+	356	60474
+	356	73801
+	356	93809
+	356	84561
+	356	45132
+	356	54381
+	356	13787
+	356	66904
+	357	85185
+	358	69909
+	359	85264
+	359	15610
+	359	62930
+	359	73762
+	359	75843
+	362	39470
+	363	86159
+	363	39842
+	363	68952
+	363	84739
+	364	28616
+	364	15396
+	364	8187
+	364	31585
+	364	83030
+	364	63465
+	364	79996
+	364	64559
+	365	83667
+	365	4142
+	366	17481
+	366	13862
+	366	12160
+	366	67933
+	366	16194
+	366	83929
+	366	63088
+	366	58849
+	366	784
+	366	87292
+	366	76381
+	366	7545
+	367	68161
+	369	83207
+	369	28412
+	369	93258
+	370	9984
+	370	63769
+	370	50516
+	370	98462
+	370	87670
+	371	20905
+	371	14382
+	371	10107
+	373	2656
+	373	9388
+	373	13353
+	374	42780
+	375	40392
+	376	79920
+	377	46274
+	377	81964
+	379	72903
+	379	88570
+	379	85621
+	379	82694
+	379	46815
+	379	58199
+	379	87583
+	379	40648
+	380	42621
+	380	10202
+	380	77304
+	380	21360
+	380	73002
+	381	70372
+	381	58873
+	381	90879
+	381	2407
+	381	83197
+	382	87937
+	382	24209
+	382	79223
+	382	88209
+	383	38321
+	386	16224
+	387	77107
+	388	72970
+	390	1839
+	390	12044
+	390	75794
+	391	96627
+	391	31644
+	392	77445
+	392	99149
+	392	88909
+	392	98274
+	392	21589
+	392	42301
+	392	12594
+	393	35041
+	393	1593
+	393	62257
+	393	33114
+	393	49532
+	393	37442
+	394	61228
+	394	30531
+	394	79992
+	394	77427
+	394	77156
+	394	66469
+	394	89833
+	394	8990
+	395	86627
+	397	89980
+	397	59013
+	397	72196
+	398	90495
+	398	69322
+	399	25276
+	400	5378
+	400	15990
+	401	42587
+	401	89340
+	401	31039
+	402	2656
+	402	86507
+	402	10974
+	402	47183
+	402	44848
+	402	59141
+	402	78781
+	402	24726
+	403	5533
+	404	17481
+	404	45925
+	404	35723
+	404	47939
+	404	99056
+	404	4142
+	404	51210
+	404	19034
+	405	93911
+	405	43919
+	406	36330
+	406	68138
+	407	92012
+	408	78464
+	408	38766
+	409	22513
+	409	94969
+	409	75485
+	409	12677
+	409	82021
+	410	2656
+	410	77798
+	410	96515
+	411	11089
+	411	30144
+	412	7012
+	413	5996
+	414	17481
+	414	51868
+	414	25458
+	414	30886
+	415	50543
+	416	10344
+	416	4450
+	416	19674
+	418	21360
+	418	24586
+	419	70104
+	419	59804
+	419	66811
+	419	81995
+	419	98111
+	419	86364
+	419	87989
+	419	18932
+	419	69637
+	419	5746
+	419	68074
+	419	46608
+	419	21628
+	419	22872
+	419	49951
+	419	73226
+	419	26697
+	419	16559
+	419	45904
+	419	60691
+	419	21680
+	419	75812
+	419	15244
+	421	86477
+	422	41554
+	422	68874
+	422	9359
+	422	69217
+	423	6169
+	424	29427
+	425	96167
+	425	98554
+	425	9839
+	426	73254
+	426	61871
+	426	22814
+	426	86747
+	426	65929
+	426	60444
+	428	91155
+	429	31438
+	429	5813
+	429	76713
+	429	83662
+	430	95275
+	430	19002
+	430	6356
+	430	47067
+	431	17207
+	431	64132
+	432	30555
+	432	99760
+	432	63508
+	432	86393
+	432	4736
+	432	88900
+	434	12683
+	434	8192
+	434	27971
+	435	95071
+	435	40893
+	435	19841
+	435	36342
+	436	19095
+	436	87925
+	436	85370
+	436	89986
+	436	50610
+	436	51593
+	436	83339
+	436	19523
+	436	29050
+	436	67860
+	436	56527
+	436	91069
+	436	56892
+	437	46256
+	439	22877
+	440	73441
+	441	6609
+	441	97286
+	441	18764
+	441	26742
+	442	33643
+	443	78097
+	444	59804
+	444	47549
+	444	79923
+	444	3897
+	446	5575
+	446	44235
+	447	63765
+	448	90033
+	449	69797
+	449	7589
+	449	26684
+	450	65638
+	450	49556
+	450	16098
+	451	8579
+	454	25243
+	454	18408
+	455	44950
+	455	20042
+	457	57523
+	457	88110
+	458	2974
+	458	64602
+	458	6167
+	459	78670
+	459	94322
+	459	74545
+	459	75890
+	460	37264
+	460	42220
+	460	10078
+	461	85877
+	461	37752
+	465	32702
+	466	92219
+	467	9069
+	468	79819
+	468	85616
+	469	29446
+	469	67619
+	470	90607
+	470	5729
+	470	71571
+	471	74508
+	471	65097
+	471	84041
+	472	37968
+	473	30010
+	473	48366
+	473	10214
+	474	64230
+	474	90694
+	474	63158
+	474	28981
+	474	48146
+	474	82442
+	474	66854
+	474	61465
+	474	32770
+	474	49951
+	474	91685
+	474	19447
