1	25950
1	3511
1	22383
1	6955
1	19338
1	29578
1	20306
1	23656
1	18735
1	7002
1	31503
1	20383
1	30696
1	24081
1	18501
1	9493
1	31634
1	17871
1	13967
1	22650
1	5811
1	18028
1	7102
1	7115
1	15908
1	18671
25950	3511
25950	5811
25950	6955
25950	7002
25950	7115
25950	9493
25950	13967
25950	15908
25950	17871
25950	18028
25950	18501
25950	18671
25950	18735
25950	19338
25950	20306
25950	20383
25950	22650
25950	23619
25950	23656
25950	24081
25950	22383
25950	7102
25950	30696
25950	29578
25950	31503
25950	31634
25950	32487
3511	22383
3511	7115
3511	6955
3511	19338
3511	29578
3511	20306
3511	23656
3511	18735
3511	7002
3511	7102
3511	31503
3511	20383
3511	30696
3511	18671
3511	24081
3511	18501
3511	9493
3511	31634
3511	17871
3511	13967
3511	18028
3511	15908
3511	5811
3511	22650
3511	25863
3511	29520
22383	2863
22383	5811
22383	6955
22383	7002
22383	7102
22383	7115
22383	9493
22383	13967
22383	15908
22383	17871
22383	18028
22383	18501
22383	18671
22383	18735
22383	19338
22383	20306
22383	20383
22383	29578
22383	23656
22383	31503
22383	30696
22383	24081
22383	31634
22383	22650
22383	25544
6955	5811
6955	7115
6955	19338
6955	29578
6955	20306
6955	23656
6955	18735
6955	7002
6955	7102
6955	31503
6955	20383
6955	30696
6955	24081
6955	18501
6955	9493
6955	31634
6955	17871
6955	13967
6955	22650
6955	15908
6955	18028
6955	18671
6955	25863
19338	7002
19338	7102
19338	7115
19338	9493
19338	13967
19338	15908
19338	17871
19338	18028
19338	18671
19338	29578
19338	20306
19338	23656
19338	18735
19338	31503
19338	20383
19338	30696
19338	24081
19338	18501
19338	31634
19338	5811
19338	22650
19338	29520
29578	5811
29578	7002
29578	7115
29578	13967
29578	15908
29578	17871
29578	18028
29578	18501
29578	18671
29578	18735
29578	20306
29578	20383
29578	22650
29578	23656
29578	24081
29578	7102
29578	31503
29578	30696
29578	9493
29578	31634
20306	2492
20306	5811
20306	7002
20306	7102
20306	7115
20306	9493
20306	13967
20306	15908
20306	18501
20306	18735
20306	23656
20306	31503
20306	20383
20306	30696
20306	18671
20306	24081
20306	31634
20306	17871
20306	22650
20306	18028
20306	28928
23656	5811
23656	7002
23656	7102
23656	7115
23656	7843
23656	9493
23656	13967
23656	17871
23656	18028
23656	18501
23656	18671
23656	18735
23656	20383
23656	22650
23656	31503
23656	30696
23656	24081
23656	31634
23656	15908
23656	21727
18735	5811
18735	7002
18735	7102
18735	7115
18735	9493
18735	13967
18735	15908
18735	18028
18735	18501
18735	31503
18735	20383
18735	30696
18735	18671
18735	24081
18735	31634
18735	17871
18735	22650
7002	5811
7002	7115
7002	31503
7002	30696
7002	18671
7002	24081
7002	18501
7002	9493
7002	17871
7002	13967
7002	22650
7002	18028
7002	15908
7002	7102
7002	20383
7002	31634
31503	5811
31503	9493
31503	13967
31503	15908
31503	18028
31503	18501
31503	18671
31503	20383
31503	22650
31503	24081
31503	29033
31503	30696
31503	7115
31503	7102
31503	31634
31503	17871
20383	5811
20383	7102
20383	7115
20383	9493
20383	15908
20383	17871
20383	18028
20383	18501
20383	18671
20383	30696
20383	24081
20383	31634
20383	13967
20383	22650
30696	5811
30696	7102
30696	7115
30696	9493
